ID,Whole,Left,Right,WholeCC,LeftCC,RightCC
0000,0.933113,0.936984,0.928329,0.933753,0.938147,0.928329
0001,0.852531,0.876651,0.822476,0.860257,0.891075,0.822476
0002,0.938963,0.94525,0.931235,0.939043,0.945299,0.931354
0003,0.870754,0.885034,0.853735,0.876002,0.894894,0.853735
0004,0.934889,0.942367,0.925899,0.934903,0.942394,0.925899
0005,0.928426,0.9278,0.929289,0.928426,0.9278,0.929289
0006,0.947592,0.944249,0.951635,0.947592,0.944249,0.951635
0007,0.953737,0.953497,0.954024,0.953737,0.953497,0.954024
0008,0.929037,0.930406,0.927282,0.929037,0.930406,0.927282
0009,0.954412,0.952603,0.956559,0.954412,0.952603,0.956559
0010,0.953804,0.959526,0.947747,0.953804,0.959526,0.947747
0011,0.958426,0.960991,0.955646,0.958426,0.960991,0.955646
0012,0.942297,0.950761,0.932449,0.942297,0.950761,0.932449
0013,0.94545,0.94521,0.945697,0.94545,0.94521,0.945697
0014,0.962489,0.964937,0.959651,0.962489,0.964937,0.959651
0015,0.964489,0.966982,0.961434,0.964489,0.966982,0.961434
0016,0.961804,0.964909,0.958444,0.961804,0.964909,0.958444
0017,0.94014,0.946906,0.932085,0.940168,0.946906,0.932147
0018,0.941686,0.945893,0.936858,0.941686,0.945893,0.936858
0019,0.957301,0.963763,0.949497,0.957301,0.963763,0.949497
0020,0.944921,0.948051,0.941418,0.945367,0.948051,0.942362
0021,0.936655,0.951172,0.920548,0.936655,0.951172,0.920548
0022,0.946477,0.948414,0.944238,0.946477,0.948414,0.944238
0023,0.934963,0.939447,0.929969,0.934963,0.939447,0.929969
0024,0.946215,0.957217,0.932604,0.946255,0.957217,0.932693
0025,0.962611,0.963654,0.961408,0.962611,0.963654,0.961408
0026,0.95433,0.958376,0.949202,0.95433,0.958376,0.949202
0027,0.951752,0.959255,0.943113,0.951752,0.959255,0.943113
0028,0.951716,0.956115,0.946588,0.951716,0.956115,0.946588
0029,0.9539,0.950262,0.957929,0.9539,0.950262,0.957929
0030,0.958875,0.966454,0.949,0.958875,0.966454,0.949
0031,0.943075,0.950188,0.932552,0.943075,0.950188,0.932552
0032,0.958851,0.964073,0.952317,0.958851,0.964073,0.952317
0033,0.948563,0.952791,0.942168,0.948563,0.952791,0.942168
0034,0.957828,0.963825,0.950356,0.957828,0.963825,0.950356
0035,0.954244,0.957,0.951049,0.954244,0.957,0.951049
0036,0.934266,0.944309,0.920023,0.934266,0.944309,0.920023
0037,0.953362,0.960574,0.945132,0.953362,0.960574,0.945132
0038,0.927207,0.940543,0.907333,0.927207,0.940543,0.907333
0039,0.954093,0.960575,0.946682,0.954093,0.960575,0.946682
0040,0.938341,0.933668,0.9442,0.938341,0.933668,0.9442
0041,0.93328,0.928056,0.939943,0.93328,0.928056,0.939943
0042,0.938212,0.933677,0.943982,0.938212,0.933677,0.943982
0043,0.933656,0.929168,0.939526,0.933656,0.929168,0.939526
0044,0.942207,0.938307,0.947075,0.942207,0.938307,0.947075
0045,0.933624,0.935968,0.930715,0.934267,0.937132,0.930715
0046,0.849792,0.87657,0.816515,0.857485,0.890996,0.816515
0047,0.938912,0.944061,0.932558,0.938994,0.944111,0.932678
0048,0.868212,0.884808,0.848246,0.87347,0.894671,0.848246
0049,0.935452,0.941168,0.92855,0.935467,0.941195,0.92855
0050,0.928556,0.929575,0.927481,0.931486,0.929575,0.933512
0051,0.938861,0.933821,0.944082,0.939266,0.933821,0.944913
0052,0.914154,0.92056,0.907822,0.918691,0.92056,0.916825
0053,0.93355,0.927702,0.939517,0.934952,0.927723,0.942351
0054,0.93969,0.938449,0.940985,0.93969,0.938449,0.940985
0055,0.93975,0.938412,0.941137,0.93975,0.938412,0.941137
0056,0.938957,0.935779,0.942281,0.938957,0.935779,0.942281
0057,0.935975,0.934774,0.937252,0.935975,0.934774,0.937252
0058,0.890984,0.89074,0.891275,0.891634,0.891936,0.891275
0059,0.930588,0.925655,0.936486,0.930832,0.9261,0.936486
0060,0.940767,0.943653,0.937336,0.940767,0.943653,0.937336
0061,0.934055,0.928608,0.940449,0.93439,0.929225,0.940449
0062,0.940963,0.945807,0.935349,0.940963,0.945807,0.935349
