ID,Which,Whole,Left,Right
0050,Augmentation,0.925319,0.950187,0.901822
0050,NoAugmentation,0.922168,0.935079,0.909733
0051,Augmentation,0.924976,0.943249,0.906856
0051,NoAugmentation,0.928687,0.936977,0.920337
0052,Augmentation,0.905486,0.908842,0.902361
0052,NoAugmentation,0.87461,0.861129,0.887661
0053,Augmentation,0.94061,0.934783,0.946897
0053,NoAugmentation,0.942725,0.937953,0.947949
0054,Augmentation,0.902616,0.926373,0.878981
0054,NoAugmentation,0.842153,0.890995,0.796452
0055,Augmentation,0.895337,0.928412,0.86218
0055,NoAugmentation,0.837569,0.89246,0.785085
0056,Augmentation,0.935494,0.935477,0.935513
0056,NoAugmentation,0.8791,0.922129,0.834015
0057,Augmentation,0.924094,0.925104,0.922995
0057,NoAugmentation,0.888193,0.934693,0.842382
0058,Augmentation,0.895918,0.917733,0.86836
0058,NoAugmentation,0.33719,0.464986,0.153226
0059,Augmentation,0.961149,0.961749,0.960452
0059,NoAugmentation,0.900072,0.893817,0.907378
0060,Augmentation,0.963955,0.969072,0.958418
0060,NoAugmentation,0.954384,0.955414,0.953281
0061,Augmentation,0.947961,0.961356,0.933528
0061,NoAugmentation,0.891954,0.894502,0.889241
0062,Augmentation,0.964441,0.963027,0.965845
0062,NoAugmentation,0.962071,0.965925,0.958352
