Epoch,Training,Validation
1,0.5522,0.5640
2,0.5664,0.5764
3,0.6512,0.6829
4,0.7345,0.7151
5,0.7680,0.7103
6,0.7815,0.7232
7,0.8043,0.7143
8,0.8250,0.7384
9,0.8459,0.7409
10,0.8672,0.7717
11,0.8852,0.8039
12,0.8942,0.7940
13,0.8975,0.8285
14,0.9063,0.8280
15,0.9120,0.8272
16,0.9138,0.8401
17,0.9151,0.8510
18,0.9201,0.8484
19,0.9203,0.8692
20,0.9234,0.8652
21,0.9261,0.8575
22,0.9245,0.8699
23,0.9292,0.8786
24,0.9289,0.8637
25,0.9315,0.8717
26,0.9321,0.8817
27,0.9328,0.8858
28,0.9347,0.8854
29,0.9344,0.8734
30,0.9334,0.8864
31,0.9355,0.8883
32,0.9377,0.8865
33,0.9355,0.8929
34,0.9375,0.8991
35,0.9389,0.8953
36,0.9381,0.9004
37,0.9407,0.8963
38,0.9404,0.9121
39,0.9416,0.9011
40,0.9420,0.9036
41,0.9400,0.8996
42,0.9416,0.9113
43,0.9411,0.9197
44,0.9424,0.9178
45,0.9432,0.8998
46,0.9436,0.9093
47,0.9457,0.9142
48,0.9441,0.9096
49,0.9446,0.9197
50,0.9453,0.9051
51,0.9434,0.9167
52,0.9460,0.9236
53,0.9456,0.9217
54,0.9460,0.9158
55,0.9466,0.9216
56,0.9473,0.9134
57,0.9472,0.9229
58,0.9468,0.9274
59,0.9477,0.9250
60,0.9458,0.9176
61,0.9478,0.9262
62,0.9473,0.9279
63,0.9474,0.9247
64,0.9488,0.9264
65,0.9491,0.9231
66,0.9477,0.9260
67,0.9493,0.9260
68,0.9482,0.9238
69,0.9494,0.9290
70,0.9501,0.9270
71,0.9489,0.9213
72,0.9497,0.9294
73,0.9488,0.9266
74,0.9491,0.9156
75,0.9487,0.9298
76,0.9512,0.9277
77,0.9502,0.9306
78,0.9511,0.9289
79,0.9498,0.9271
80,0.9504,0.9290
81,0.9502,0.9347
82,0.9498,0.9323
83,0.9525,0.9359
84,0.9522,0.9350
85,0.9515,0.9315
86,0.9498,0.9273
87,0.9517,0.9267
88,0.9503,0.9333
89,0.9519,0.9286
90,0.9519,0.9362
91,0.9518,0.9322
92,0.9517,0.9318
93,0.9530,0.9351
94,0.9526,0.9367
95,0.9518,0.9259
96,0.9528,0.9324
97,0.9510,0.9379
98,0.9530,0.9386
99,0.9530,0.9290
100,0.9519,0.9265
101,0.9504,0.9366
102,0.9513,0.9409
103,0.9527,0.9404
104,0.9537,0.9367
105,0.9531,0.9342
106,0.9539,0.9369
107,0.9542,0.9365
108,0.9532,0.9364
109,0.9540,0.9385
110,0.9546,0.9379
111,0.9521,0.9360
112,0.9534,0.9407
113,0.9538,0.9335
114,0.9523,0.9358
115,0.9520,0.9426
116,0.9552,0.9444
117,0.9531,0.9332
118,0.9537,0.9391
119,0.9542,0.9400
120,0.9552,0.9450
121,0.9551,0.9407
122,0.9548,0.9348
123,0.9544,0.9436
124,0.9552,0.9403
125,0.9534,0.9362
126,0.9529,0.9391
127,0.9563,0.9399
128,0.9535,0.9391
129,0.9555,0.9390
130,0.9544,0.9475
131,0.9551,0.9418
132,0.9552,0.9453
133,0.9557,0.9397
134,0.9555,0.9449
135,0.9538,0.9340
136,0.9562,0.9435
137,0.9562,0.9417
138,0.9537,0.9444
139,0.9551,0.9402
140,0.9539,0.9427
141,0.9556,0.9425
142,0.9551,0.9419
143,0.9555,0.9436
144,0.9548,0.9411
145,0.9545,0.9420
146,0.9560,0.9447
147,0.9560,0.9349
148,0.9568,0.9423
149,0.9561,0.9451
150,0.9535,0.9430
